No,Produk,Ulasan,Rating
1,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 502,"Oke enak ga begitu keras, pas",1
2,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 503,"Kecewa sih pekerjanya ngga teliti, masa pesan dua dikirim satu",1
3,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 504,"Basrengnya pahit, bau sabun lagi",1
4,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 505,penjual tidak amanah beli 500 gr dikirim 250 gr,1
5,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 506,sobek plastiknya… berantakan Basrengnya,1
6,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 507,basrengnya alot,1
7,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 508,Rasanya sangat buruk sekali seperti ada rasa sabunnya.,1
8,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 509,"bumbunya kurang terasa, basrengnya amis, gatel",1
9,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 510,Saya sudah beli 3 kali di sini gak mengecewakan tapi kali ini banyak yang gosong,1
10,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 511,rasanya pahit pahit gosong,1
11,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 512,alot,1
12,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 513,keras kaya batu,1
13,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 514,basrengnya gosong semua pahit banget,1
14,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 515,Basrengnya melempem dan bolong-bolong,1
15,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 516,pahit pol,1
16,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 517,agak hambar dan bumbunya hanya sedikit,1
17,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 518,"Rasanya pahit, bumbunya kurang",1
18,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 519,Basrengnya kaya rasa gosong,1
19,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 520,Keras,1
20,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 521,Basrengnya banyak yang melempem sih ini,1
21,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 522,gosong,1
22,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 523,basrengnya ayem,1
23,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Sumpah deh asin banget mbak saya rugi beli 1kg ga bisa dimakan juga asin banget,1
24,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Basrengnya tak enak,1
25,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Basrengnya kaya digigit tikus,1
26,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Gak recommended. Berminyak parah…,1
27,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,"Asin banget dah kaya makan garam, ga kerasa pedesnya dan lebih kerasa kaya digoreng pake minyak jelantah",1
28,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Basrengnya udah ALOT alias MELEMPEM!!!,1
29,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,sumpah aku ga bohong. Bukan mau menjatuhkan tapi rasa baso acinya itu asem kaya basi gitu.,1
30,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,keras banget,1
31,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Masih kecium bau amis dari basrengnya terus potongannya ga sesuai terus rasanya juga jadi ga enak di lidah,1
32,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Saran aja gorengnya minyaknya diganti jadi ga kayak basreng apek pas dimakan ngerasa makan basreng lama. Untuk gurih masih gurih tapi pas dimakan yah begitu no no,1
33,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,rasa pedas tidak ada apalagi daun jeruknya tidak kerasa sama sekali. Udah gitu potongannya gede gede bahkan ada yang lengket gede gitu. Lain kali diperhatikan. Trauma jadinya sekian,1
34,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,"baksonya kurang pedes, terus garing sih memang garing cuman kok berlendir pas dimakan lengket nempel di lidah ukurannya setelah ditimbang kaga nyampe 500gram. Daun jeruknya ga berasa, not recommended",1
35,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,keras banget kaya batu.potongannya juga kurang kecil terlalu gede,1
36,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Gk bisa dimakan kek makan batu keras,1
37,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,"Minyaknya ngembeng, ada beberapa basreng yang gosong",1
38,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,"ga enak,kurang asin kurang pedes, berminyak banget, daun jeruknya ga berasa",1
39,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,rasanya ga gurih basrengnya seperti sudah lama alot dan kurang enak,1
40,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,minyak masih ada dan berserak kemana mana,1
41,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 540,Basreng asin bangetttt tanggal espayet,2
42,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 541,Saya merasa kurang puas karena rasa basrengnya sangat kurang jadinya pas saya makan kayak gak ada rasanya cuma ada rasa sedikit pedas,2
43,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 542,rasanya nggak kayak biasanya yang aku belii rasanya pahit gaenak,2
44,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 543,kurang asin sama basrengnya ya enggak utuh/patah patah dan keras banget,2
45,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 544,"nggak pedes sama sekali, warnanya juga agak pudar",2
46,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 545,"Agak kecewa sih, rasanya kayak gosong gitu dan basrengnya udh agak terlalu keras cmn pedasnya aja yg kerasa",2
47,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 546,basrengnya basah,2
48,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 547,Ini beliyang kedua basrengnya gosong rasanya jadi agak pahit terus bumbu jeruk nipisnya gak kerasa Cuma pedas aja. Tekstur juga agak keras.,2
49,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 548,rasanya tidak sesuai ekspektasi. Basrengnya banyak yang gosong sehingga tidak enak.,2
50,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 549,"Ih sumpah kok beda sama yg pertama kubeli, yg pertama enak banget berbumbu, yg ini udah gede gede bumbunya pelit, gak berasa bumbunya, udah daun jeruk seuprit",2
51,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 550,keras dan kerasa tepung,2
52,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 551,rasa enak tidak atos tapi tidak terlalu asin,2
53,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 552,"Ga ada gurih gurihnya, pedes doang",2
54,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 553,"kurang pedas, kurang gurih, terlalu gosong",2
55,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 554,enak gurih + ada yang alot & juga kurang daun jeruk,2
56,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 555,basrengnya keras sekali,2
57,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 556,"Rasanya gk karuan, Cuma rasa pedas doang, a lot lagi",2
58,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 557,Basrengnya banyak yg gosong,2
59,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 558,"Pahit, entah kenapa ga enak",2
60,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 559,Gosong,2
61,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 560,Alot,2
62,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 561,Basrengnya kecil kecil terus hancur,2
63,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,"Terlalu banyak minyak, micinnya berasa banget. Isinya hancur.",2
64,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,"enak tapi berminyak, pengen muntah, soalnya rasanya kek babi gatau dah pake daging apa mon maaf",2
65,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,"mengecewakan, keras, bumbunya kurang menonjol, rasanya seperti tepung dikasih bumbu",2
66,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,"biasa ga kerasa daun jeruk, ga begitu pedas",2
67,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,"Namanya sih basreng tpi gak ada rasa baksonya, rasa ikan",2
68,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,terlalu berminyak tidak pedas dan teksturnya alot,2
69,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,"Basrengnya potongannya besar besar kurang renyah dan cenderung keras, rasa baksonya tidak terasa dan bumbunya ada yang masih basah",2
70,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,"Gaada rasa daun jeruknya, terus ini kaya basreng gopean",2
71,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,enak tapi nggak tau setiap makan basreng ini saya mencret mencret,2
72,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,ini lebih ke gurih asin daun jeruk karena rasa pedesnya kurang banget tapi basrengnya kriuk banget,2
73,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,lumayan karenga basrengnya keras dan rasa kurang enakkk,2
74,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,minyaknya kebanyakan dan keasinan tapi lumayan enak kok,2
75,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Bagus tapi agak kecewa pas pertama beli dun jeruknya banyak tapi pas beli kedua daun jeruknya sedikit banget tapi gpp,2
76,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,"kurang enak rasanya, mesen pedes tapi gaada pedes pedesnya, bumbunya kayak pake bumbu balado, basrengnya keras tapi masih oke",2
77,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,"enak, pedes, gurih",2
78,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,enak tpai terlalu besar potongannya,2
79,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Lumayan pedas tapi maaf ya kak agak keras,2
80,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,"Rasanya asin dan pedas, dan teksturnya kasar dan kalau dikunyah keras",2
81,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 580,"Bukan kaya asli basreng bandung, pedesnya kurang, kriuknya kurang, daun jeruknya gk terasa dan cenderung manis rasanya..",3
82,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 581,"Semua pahit pahit gosong gituu, ga begitu mengecewakan",3
83,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 582,"rasanya pait, gak keras sii tapi gosong gitu, jadi aneh gitu si",3
84,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 583,"Gimana ya, dibilang enak ya enak karna renyh ngunyahnya engga terlalu neken, cuman bumbunya kurang sedep, kurang nempe, kurang gurih.",3
85,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 584,Tekstur agak keras lebih enak kalo dimakan pake seblak siii,3
86,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 585,rasanya manis ama ada pait paitnya gitu padahal pesennya pedes,3
87,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 586,"gurih enak tidak terlalu asin, tapi kebanyakan hancur kecil kecil",3
88,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 587,"Keras banget sih baru makan beberapa biji udah capek ngunyah, kalo bisa adonannya diperlembut lagi",3
89,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 588,"seperti makaroni pedas gak ada asinnya, agak alot sedikit",3
90,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 589,"Kurang sedap bumbunya tidak kerasa, basrengnya kecil",3
91,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 590,Minyaknya campur sama bumbu basrengnya jg bukan kaya bukan basreng,3
92,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 591,menurut sata kepedesan daun jeruknya ngga kerasa jadi mohon pedesnya standar aja dan daun jeruknya dibanyakin terima kasih,3
93,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 592,"Kurang enak, terlalu berminyak",3
94,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 593,basrengnya keras dan rasanya juga radak asin,3
95,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 594,"gurih lumayan, so delicious",3
96,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 595,minyaknya masyaallah banyak bgtt,3
97,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 596,"rasa basrengnya asin, perasaan mesennya yg pedas daun jeruk lh yg  datang gadak daun jeruknya dan gk pedas",3
98,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 597,"bumbu daun jeruknya kurang,,, terlalu asin",3
99,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 598,basreng pedes doang kurang daun jeruk & gurih,3
100,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 599,"Rasanya pas, enak, tapi basrengnya keras sumpah kek banyak yang dibuang",3
101,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 600,enak gurih kriuk,3
102,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 601,Basrengnya gurih gak keras,3
103,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 602,Basrengnya kurang enak potongannya kecil2,3
104,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 603,Melempem,3
105,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 604,Gurih pedas,3
106,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 605,basrengnya banyak yg gosong kk agak pait,3
107,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 606,"Ga pedes samsek, basrengnya eras, rasa daun jeruknya juga kurang, gaada gurihnya samsek",3
108,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 607,manis gak asin masa iya yg jual salah naroh garem jadi gula karna rasanya pedes manis gaada rasa asin asinnya,3
109,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 608,"kurang berasa pedasnya dadn daun jeruknya, basrengnya masih kriuk",3
110,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 609,"mentap meskipun sedikit keras, rasa pedas banget",3
111,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 610,tidak pedas dan rasanya agak manis,3
112,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 611,pait dan gak terlalu asin,3
113,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 612,bumbunya kurang banyak Cuma dikit,3
114,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 613,rasanya sih enak tapi basrengnya sedikit keras,3
115,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 614,pedas tapi kurang asin,3
116,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 615,enak tapi keras dan agak hancur,3
117,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 616,agak gosong,3
118,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 617,bumbunya sedikit… gk pedas,3
119,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 618,agak pahit,3
120,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 619,enak bgttt woy Cuma kurang asin aja,3
121,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 620,"menurutku gurihnya pas, cuman terlalu asin dan pedas.",4
122,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 621,"Agak asin ini bun. Kalo agak dikurangin garemnya pasti pas,,, pedesnya pas, asinnya mashaAllah buun",4
123,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 622,Basrengnya gede gede bakalan ga alot sih enak.. Dan pas dibuka kecium harum daun jeruk dan pedesnya beneran..,4
124,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 623,"enk, pedes daun jeruknya keras, tapi terlalu terlalu asin bukan gurih. Tapi renyah dan enk, bumbu nya kurang kerasa",4
125,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 624,"enak banget, pedas gurih",4
126,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 625,"Enak banget bumbunya pedes, kurang asin sedikit menurut aku dan nggak ada daun jeruknya tapi tetep enak kok",4
127,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 626,rasanya enak sekali.. Pedes gurih daun jeruknya kerasa..,4
128,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 627,Rasanya ga sepedas dulu sekarang lebih ke asin ga pedas sama sekali warna dari basrengnya juga berbeda-beda,4
129,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 628,Rasanya pedas manis asin gurih pokoknya mantul,4
130,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 629,"pedess nya nampolll, enak, gurih, bikin nagih, cuman agak keras dikit basrengnya tapi gpp ttep worth it",4
131,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 630,"Enak cuman keras, rasanya enak kok pedes asin gurih",4
132,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 631,"Basrengnya lumayan enak, pedes asinnya pas",4
133,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 632,gurih pedas mantul,4
134,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 633,Basrengnya enak bngt yg original berasa banget daun jeruknya yg pedes rasanya pedes bngtt,4
135,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 634,rasanya pedas enak rempahnya kerasa dan sangat gurih,4
136,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 635,rasanya ok tapi bumbunya kurang banyak,4
137,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 636,Pedas agak keras dikit,4
138,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 637,"Basreng e gurih tidak keras, kurang pedas",4
139,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 638,Dari segi rasa enak tapi basrengnya keras dan kyk bantet gtu gorengnya,4
140,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 639,rasa gurih n sedep daun jeruk x terasa sekali,4
141,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 640,renyah pedas kurang gurih aja dikit,4
142,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 641,"gurih tapi agak keras, kurang asin dikit tapi enak kok",4
143,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 642,"pedesnya pas, bumbunya banyak, Cuma terlalu keras basrengnya",4
144,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 643,"enak, pedes, tidak keras",4
145,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 644,"enak, cuman agak keras, tapi gak papa",4
146,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 645,"enak, tapi kurang asin",4
147,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 646,"enak, gurih, pedes mantull",4
148,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 647,"asin, pedas, daun jeruknya kurang berasa, renyah",4
149,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 648,"Ada yg gosong, keras",4
150,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 649,"Kurang gurih agak gosong dikit, lumayan pedas tapi gk  ada asinnya jadi tadi aku tambahin Royco sendiri",4
151,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 650,"pedes banget, rada ayem ga serenyah ekspektasiku",4
152,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 651,Asin bgt. Basreng yg besar keras,4
153,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 652,"pedas, aroma daun jeruknya kerasa",4
154,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 653,"GAK ALOT YAA, TAPI EMANG KURANG PEDES AJAAA. TERUS bumbunya kurang yaa.",4
155,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 654,"Benar benar renyah.. Ini baru basreng beneran. Rasanya enak, pedasnya tipe pedas yg bisa dinikmati…",4
156,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 655,Basrengnya enak tapi keras saat digigit,4
157,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 656,Bumbunya kebanyakan,4
158,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 657,basrengnya ada yang pait,4
159,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 658,enak bumbunya pas tp basrengnya rada keras,4
160,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 659,Enak si renyah.. Cuma bumbu kurang trs daun jeruk kurang bangeet,4
161,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 660,Enakkk sekali renyah gurih. Basrengnya kebanyakan sampek gak muat ke wadahnya seneng bangett,5
162,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 661,"enakkk bangettt, pesenyaa kerasaaa pollllll, ngga pelit bumbu samsek, enakkk polll",5
163,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 662,Uda firasat kalau yg pedes bakalan asin.. Soalnya bnyk yg komen asin bngt. Tapi yaudah lah.. Tetep kasih bintang full.. Soalnya enak yg rasa original.  Nggak asin juga…. Ya semoga aja seller bisa dikurangi dikit garamnya.. Soalnya garam lagi mahal sekarang.. hehe.. yg pedes cuma bisa dimakan pakek nasi... sumpah asin bngt.. nanti beli original aja lah.. kapokk.. hehehe.. gurih kok nggak mlempem... padahal minyak banyak untuk aja enak basrengnya.,5
164,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 663,"enak banget, bagus, meskipun agak berminyak banget sih, tapi enak banget rasanya, rasa ikannya kerasa banget lohh",5
165,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 664,Enak gurih pedas cocok untuk cemilan saat hujan,5
166,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 665,"Gurih, pedas, nagih banget",5
167,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 666,"Basrengnya empuk, pedasnya pas",5
168,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 667,"Rasanya enak banget.. Gurih, pedes, sedep jadi satu disini..",5
169,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 668,mantap pwol bumbunya juga melimpah,5
170,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 669,"enak, pedes poll,,, mantep",5
171,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 670,"enak, gurih, bagus, Cuma agak hancur",5
172,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 671,"Gurih, gak tengik, renyah, dan pedes banget, kurang asin dikit.",5
173,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 672,"kurang sedap, alot ketika digigit",5
174,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 673,Gurih pedes banget tapi nagih,5
175,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 674,"minyaknya banyak bgt, sampe keluar keluar semua. Rasanya si enak, pedasnya pas",5
176,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 675,"Enak sihh untuk harga segitu, basrengnya rada a lot wkwk trs bau jeruknya nyengat tpi gpp ttp enak dan suka",5
177,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 676,bagi saya kurang asin tapi soal pedesnya mantul bngt mungkin harus ditambahin micin sedikit lagi,5
178,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 677,"Enak tapi ada rasa pahit pahitnya dikit, dan pedes nya polll sampe bikin bibir dower",5
179,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 678,basrengnya agak hancur Cuma masih bisa dimakaan lah,5
180,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 679,Bumbunya melimpah.. Pedes.. Enk bgt,5
181,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 680,enak tapi agak keras dikit dan di bungkusnya berminyak tapi alhamdulillah Cuma sedikit,5
182,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 681,mantap dan wangi bangeeet pas di buka box nya,5
183,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 682,"Enak, bumbunya banyak jadi kerasa banget, renyah",5
184,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 683,"ENAK BANGET BASRENGNYA,  bikin nagih",5
185,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 684,Kriuk banget enak,5
186,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 685,enak bgt krispi ikan tenggirinya berasa pokonya mantap deh,5
187,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 686,"basrengnya agak alot dikit si trs pedesnya juga pedes di mulut bukan di perut, overall 8/10 lah",5
188,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 687,"enak dan pedas, renyah dan enak bumbunya banyak tapi gak terlalu enek di tenggorokan",5
189,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 688,enak ga terlalu keras tapi daun jeruknya ga kerasa,5
190,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 689,"enakk bangettt, pengiriman cepet, bumbunya pas, bumbunya banyakkk, pokonyaaa enakkk dehhhh",5
191,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 690,enak gurih pedasnya juga nagih jugaa suka bangett,5
192,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 691,basrengnya enak bumbunya kerasa bgt,5
193,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 692,Basrengnya enak ga terlalu keras pas digigit,5
194,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 693,Minyaknya banyakk pokonya gagal diet,5
195,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 694,Basreng enak banget gak alot banget,5
196,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 695,"Enak kok basrengnya, renyah, peddas, ok lah untuk cemilan sambil nonton drakor",5
197,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 696,"Basrengnya enak gurih, gak keras, pedasnya pas, daun jeruknya juga kerasa",5
198,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 697,Rasanya mantul tapi kurang pedas,5
199,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 698,Enak gurih pedesnya kerasa gak alot debest de bumbunya banyak,5
200,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 699,"bumbunya nampol bangett, gurih renyah basrengnya kerasa juga",5
